OVG;motief11;hfdvm2;waarde_modal_split;verplaatsingen;MeetType;DagType
71;ontspanning, sport, cultuur;autobestuurder;2,06211404948832;3333;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;autopassagier +18;1,02416871863403;1345;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;autopassagier -18;0,793379761589004;1589;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;brom-/snorfiets of motor;0,0168814773170829;31;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;elektrische fiets;0,126569258783432;660;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;elektrische step/monowheel/hoverboard;0,00233112304718283;15;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;lijnbus;0,0879111594899207;171;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;metro;0,00214046484408458;10;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;niet-elektrische fiets;0,239867894874372;1459;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;speed pedelec;0,00820370156071025;37;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;taxi of vergelijkbaar;0,0265961179011356;20;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;te voet;0,0727481180549561;1594;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;tram;0,0337917710797229;94;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;trein;0,364030840902185;176;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;anders;0,00556087744934538;26;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;autobestuurder;0,314562149510369;478;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;autopassagier +18;0,228089373038594;193;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;autopassagier -18;0,0328691652336291;66;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;brom-/snorfiets of motor;0,00824904341113481;4;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;elektrische fiets;0,0873267659571;165;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;elektrische step/monowheel/hoverboard;0,000240177306646589;1;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;lijnbus;0,00769140879797549;15;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;metro;0,00251587977363534;5;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;niet-elektrische fiets;0,182097551449638;279;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;speed pedelec;0,00463170263800142;6;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;te voet;0,268004764031233;2280;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;tram;0,00534542866679634;18;in aantal km per dag;alle dagen
71;wandelen, rondrijden, joggen;trein;0,0499395522306898;15;in aantal km per dag;alle dagen
71;werken;anders;0,146744783749657;77;in aantal km per dag;alle dagen
71;werken;autobestuurder;5,8762650212605;6582;in aantal km per dag;alle dagen
71;werken;autopassagier +18;0,246135660406954;277;in aantal km per dag;alle dagen
71;werken;autopassagier -18;0,0168081875467436;24;in aantal km per dag;alle dagen
71;werken;brom-/snorfiets of motor;0,0615286591495252;65;in aantal km per dag;alle dagen
71;werken;elektrische fiets;0,319772441196636;1210;in aantal km per dag;alle dagen
71;werken;elektrische step/monowheel/hoverboard;0,0116704993302464;41;in aantal km per dag;alle dagen
